date	ajustado
08/08/2013	43.7441
09/08/2013	46.0959
12/08/2013	45.9078
13/08/2013	46.3782
14/08/2013	42.2389
15/08/2013	41.2982
16/08/2013	41.2982
19/08/2013	39.2286
20/08/2013	38.5701
21/08/2013	38.8523
22/08/2013	39.1345
23/08/2013	41.2982
26/08/2013	38.7582
27/08/2013	38.9464
28/08/2013	38.0056
29/08/2013	38.1938
30/08/2013	35.7479
02/09/2013	38.9464
03/09/2013	39.6989
04/09/2013	39.4167
05/09/2013	40.5456
06/09/2013	41.7686
09/09/2013	42.7093
10/09/2013	40.4515
11/09/2013	40.7338
12/09/2013	40.8278
13/09/2013	42.1449
16/09/2013	43.0856
17/09/2013	44.873
18/09/2013	47.1307
19/09/2013	48.4478
20/09/2013	49.2944
23/09/2013	49.2004
24/09/2013	50.7996
25/09/2013	46.7544
26/09/2013	45.3433
27/09/2013	45.4374
30/09/2013	45.3
01/10/2013	44.7
02/10/2013	46.3
03/10/2013	40.8
04/10/2013	39.2
07/10/2013	37.3
08/10/2013	38.9
09/10/2013	39.8
10/10/2013	42.1
11/10/2013	43.5
14/10/2013	45.5
15/10/2013	46.6
16/10/2013	46.1
17/10/2013	43
18/10/2013	43
21/10/2013	44.5
22/10/2013	44.1
23/10/2013	43.2
24/10/2013	42.8
25/10/2013	41.2
28/10/2013	43
29/10/2013	42.3
30/10/2013	41.1
31/10/2013	40.2
01/11/2013	39
04/11/2013	40.3
05/11/2013	39.2
06/11/2013	38.1
07/11/2013	37.1
08/11/2013	37.7
11/11/2013	38.3
12/11/2013	36.7
13/11/2013	37.6
14/11/2013	38.9
18/11/2013	39.2
19/11/2013	36.9
21/11/2013	37.2
22/11/2013	38.4
25/11/2013	38
26/11/2013	36.7
27/11/2013	37.5
28/11/2013	38
29/11/2013	38.7
02/12/2013	37.1
03/12/2013	35.4
04/12/2013	39.2
05/12/2013	38.8
06/12/2013	40.1
09/12/2013	40.1
10/12/2013	39.1
11/12/2013	36.8
12/12/2013	36.3
13/12/2013	36.7
16/12/2013	37
17/12/2013	36.3
18/12/2013	36.3
19/12/2013	38.9
20/12/2013	39.3
23/12/2013	38.9
26/12/2013	37.2
27/12/2013	36.7
30/12/2013	36.1
02/01/2014	35.1
03/01/2014	44.6
06/01/2014	41.4
07/01/2014	40.5
08/01/2014	41.3
09/01/2014	41.7
10/01/2014	43.7
13/01/2014	44.6
14/01/2014	45.9
15/01/2014	46.9
16/01/2014	46.4
17/01/2014	47.9
20/01/2014	47.4
21/01/2014	46.3
22/01/2014	47.8
23/01/2014	48.8
24/01/2014	47.1
27/01/2014	45.5
28/01/2014	44.7
29/01/2014	44.8
30/01/2014	45.5
